bid_notice_id,estimated_price,base_price,num_bidders,estimated_cost,Minimum Bid Amount Rate (MBAR),bid_rigging_label,Bid_Price_(1st_rank_Bidder),BAR_(1st_rank_Bidder),Firm_id_(1st_rank_Bidder),Bid_Price_(Competing_Bidder),BAR_(Competing_Bidder),Firm_id_(Competing_Bidder)
20060214954,9537575.0,9427000.0,3.0,8570000.0,87.745,1.0,8393800.0,1.2949915137371306,5158113442.0,8395000.0,1.3077209080301202,5128110072.0
20060113427,12442475.0,12584000.0,3.0,11440000.0,87.745,1.0,11206800.0,1.3109440559440486,5128110072.0,11208600.0,1.3252479338842846,5158113442.0
20060113407,13411400.0,13497000.0,3.0,12270000.0,87.745,1.0,12002800.0,1.1843917166777658,5158113442.0,12004000.0,1.1932825813143637,5128110072.0
20060113397,11605675.0,11550000.0,3.0,10500000.0,87.745,1.0,10285000.0,1.3026190476190322,5128110072.0,10287600.0,1.3251298701298566,5158113442.0
20060113262,17970000.0,18000000.0,3.0,16363636.0,87.745,1.0,16013600.0,1.2194444444444343,5158113442.0,16016000.0,1.2327777777777698,5158127081.0
20060113257,18510350.0,18320000.0,3.0,16654545.0,87.745,1.0,16306300.0,1.263187772925761,5158113442.0,16308000.0,1.272467248908299,5158127081.0
20060113254,14686275.0,14500000.0,3.0,13181818.0,87.745,1.0,12902000.0,1.2343103448275912,5158127081.0,12903000.0,1.2412068965517165,5128110072.0
20060113246,15707225.0,15800000.0,3.0,14363636.0,87.745,1.0,14072800.0,1.3233544303797373,5158127081.0,14074000.0,1.3309493670885928,5128110072.0
20060113237,10150925.0,10260000.0,3.0,9327272.0,87.745,1.0,9138000.0,1.3193274853801142,5158127081.0,9139000.0,1.3290740740740716,5158113442.0
20060113224,12668900.0,12620000.0,3.0,11472727.0,87.745,1.0,11238700.0,1.309675118858948,5128110072.0,11239500.0,1.3160142630744787,5158113442.0
20060113212,17583825.0,17347000.0,3.0,15770000.0,87.745,1.0,15432600.0,1.2190860091081959,5158113442.0,15435000.0,1.2329212543955776,5158127081.0
20060113201,17449425.0,17347000.0,3.0,15770000.0,87.745,1.0,15449000.0,1.3136268519052265,5158127081.0,15450000.0,1.319391537441632,5158113442.0
20060113191,16368225.0,16379000.0,3.0,14890000.0,87.745,1.0,14573600.0,1.2323490445082115,5158127081.0,14575000.0,1.2408965748824698,5158113442.0
20060111525,16558975.0,16500000.0,3.0,15000000.0,87.745,1.0,14687800.0,1.2719696969696912,5158113442.0,14689000.0,1.279242424242426,5128110072.0
20060101399,33138500.0,32900000.0,3.0,29909090.0,87.745,1.0,30250000.0,4.200288753799384,5128110072.0,30590000.0,5.233723404255315,5158113442.0
20060101385,32090950.0,32500000.0,3.0,29545454.0,87.745,1.0,29255000.0,2.2703846153846143,5158127081.0,30060000.0,4.747307692307686,5158113442.0
20060101360,31557700.0,31300000.0,3.0,28454545.0,87.745,1.0,28710000.0,3.9802396166134173,5128110072.0,29100000.0,5.226246006389772,5158113442.0
20060101345,30349800.0,30600000.0,3.0,27818181.0,87.745,1.0,27990000.0,3.7255882352941114,5158113442.0,28050000.0,3.9216666666666526,5158127081.0
20060101332,29588600.0,29800000.0,3.0,27090909.0,87.745,1.0,26950000.0,2.6912416107382455,5128110072.0,27118000.0,3.2549999999999955,5158113442.0
20060108747,7650750.0,7689000.0,3.0,6989999.0,90.0,1.0,7400000.0,6.241383795031865,5058123884.0,7440000.0,6.761607491221227,5058127916.0
20060108757,9953200.0,9980000.0,3.0,9072727.0,90.0,1.0,9400000.0,4.188376753507015,5058127916.0,9450000.0,4.68937875751503,5058123884.0
20060108768,10093825.0,9980000.0,3.0,9072727.0,90.0,1.0,9400000.0,4.188376753507015,5058127916.0,9450000.0,4.68937875751503,5058123884.0
20060108772,9935425.0,9980000.0,3.0,9072727.0,90.0,1.0,9550000.0,5.69138276553106,5058127916.0,9650000.0,6.69338677354709,5058123884.0
20060108780,9598675.0,9730000.0,3.0,8845454.0,90.0,1.0,9050000.0,3.0113052415210717,5058123884.0,9080000.0,3.3196300102774927,5058127916.0
20060108786,9780425.0,9680000.0,3.0,8800000.0,90.0,1.0,9150000.0,4.524793388429757,5058123884.0,9220000.0,5.247933884297524,5058127916.0
20060108793,9140925.0,9110000.0,3.0,8281818.0,90.0,1.0,8600000.0,4.401756311745331,5058123884.0,8660000.0,5.0603732162458925,5058127916.0
20060108798,10087100.0,9998000.0,3.0,9089090.0,90.0,1.0,9650000.0,6.519303860772155,5058123884.0,9690000.0,6.919383876775356,5058127916.0
20060110281,11724025.0,11800000.0,3.0,10727272.0,87.745,1.0,10327000.0,-0.22805084745762372,5058128273.0,10700000.0,2.932966101694916,5058123884.0
20060110284,17877050.0,18000000.0,3.0,16363636.0,87.745,1.0,15753000.0,-0.22833333333333883,5058128273.0,17100000.0,7.2549999999999955,5058123884.0
20060112667,22006675.0,21900000.0,3.0,19909090.0,87.745,1.0,19825000.0,2.780114155251141,5058123884.0,19848000.0,2.8851369863013616,5058127916.0
20060112673,19391975.0,19500000.0,3.0,17727272.0,87.745,1.0,17755000.0,3.3062820512820537,5058128273.0,17862000.0,3.855000000000004,5058123884.0
20060112675,18385475.0,18500000.0,3.0,16818181.0,87.745,1.0,16858000.0,3.3793243243243154,5058127916.0,16935000.0,3.7955405405405287,5058123884.0
20060112680,16972125.0,17000000.0,3.0,15454545.0,87.745,1.0,15575000.0,3.8726470588235173,5058123884.0,15598000.0,4.007941176470581,5058127916.0
20060202761,20096050.0,20250000.0,3.0,18409090.0,87.745,1.0,18627000.0,4.240185185185183,5058127916.0,18653000.0,4.368580246913581,5058123884.0
20060304511,16856725.0,16708000.0,3.0,15189090.0,87.745,1.0,15304000.0,3.851839837203727,5058128273.0,15333000.0,4.025409384725876,5058123884.0
20060305708,15254300.0,15220000.0,2.0,13836363.0,87.745,1.0,13999000.0,4.23266097240473,5058127916.0,14080000.0,4.764855453350847,5058123884.0
20060305714,15343750.0,15425000.0,3.0,14022727.0,87.745,1.0,14214000.0,4.404108589951377,5058123884.0,14224000.0,4.46893841166937,5058127916.0
20060202263,12149250.0,12140000.0,4.0,11036363.0,87.745,1.0,10867000.0,1.7690032948929115,5038163857.0,10983000.0,2.724522240527179,5068150822.0
20060202261,13234800.0,13164000.0,4.0,11967272.0,87.745,1.0,11783000.0,1.7642676997872968,5028183132.0,11879900.0,2.5003661501063448,5038163857.0
20060202260,16164750.0,16364000.0,4.0,14876363.0,87.745,1.0,14648000.0,1.7685663651918873,5068150822.0,14796000.0,2.6729907113175244,5028183132.0
20060202259,12450650.0,12543000.0,4.0,11402727.0,87.745,1.0,11225000.0,1.747147014270908,5068150822.0,11396000.0,3.110457227138639,5028183132.0
